Area,Names,Party,Votes,Percentage
ALJUNIED,"Ang Zi Yang, Adrian, Chan Hui Yuh, Faisal Abdul Aziz, Jagathishwaran Rajo, Liu Keyuan, Daniel",PAP,"53,263",40.32%
ALJUNIED,"Fadli Fawzi, Gerald Giam Yean Song, Sylvia Lim Swee Lian, Pritam Singh, Kenneth Tiong Boon Kiat",WP,"78,847",59.68%
ANG MO KIO,"Darryl David, Jasmin Lau, Lee Hsien Loong, Victor Lye, Nadia Ahmad Samdin",PAP,"115,209",78.95%
ANG MO KIO,"Heng Zheng Dao, Ho Yuen Liung Martinn, Lee Yuru, Samuel, Lim Lian Chin, Thaddeus Shamraj S/O Thomas Selvaraj",PPP,"14,901",10.21%
ANG MO KIO,"Vincent Ng Kian Guan, Nigel Ng, Noraini Yunus, Ridhuan Chandran, Zhu Laicheng",SUP,"15,811",10.84%
BUKIT GOMBAK,Harish Pillay,PSP,"5,682",24.17%
BUKIT GOMBAK,Low Yen Ling,PAP,"17,826",75.83%
BUKIT PANJANG,Liang Eng Hwa,PAP,"19,116",61.41%
BUKIT PANJANG,Paul Anantharajah Tambyah,SDP,"12,015",38.59%
BISHAN-TOA PAYOH,"Cai Yinzhou, Chee Hong Tat, Elysa Chen, Saktiandi Supaat",PAP,"66,137",75.21%
BISHAN-TOA PAYOH,"Steve Chia, Melvyn Chiu, Lim Rui Xian, Norhakim",SPP,"21,799",24.79%
CHUA CHU KANG,"A'bas Bin Kasmani, Wendy Low Wei Ling, Lawrence Pek Eng Leong, S Nallakaruppan",PSP,"31,488",36.41%
CHUA CHU KANG,"Choo Pei Ling, Jeffrey Siow, Tan See Leng, Zhulkarnain Abdul Rahim",PAP,"55,000",63.59%
EAST COAST,"Dinesh Vasu Dash, Hazlina Binte Abdul Halim, Tan Kiat How, Tan Soon Neo Jessica, Tong Chun Fai Edwin Charles",PAP,"79,664",58.76%
EAST COAST,"Koh Kim Kui, Nathaniel, Kuan Hon Whye, Jasper, Paris V Parameswari, Sufyan Mikhail Putra Mohd Kamil, Yee Jenn Jong",WP,"55,912",41.24%
HOUGANG,Marshall Lim Yu Hui,PAP,"10,285",37.83%
HOUGANG,Dennis Tan Lip Fong,WP,"16,900",62.17%
